epoch,train_loss,val_loss
2,1.789751731805475,0.9605633388866078
3,0.9510300364331148,0.8653486396327164
4,0.8839761455249424,0.838845656857346
5,0.8569646460928391,0.8229680140813191
6,0.8412536212246681,0.8147304910601991
7,0.8311928931297912,0.8084528225840945
8,0.8234347555120635,0.8025832725293709
9,0.8172322896496877,0.7993430982936512
10,0.8125990783307036,0.7962894703402664
11,0.8082618576492193,0.7936500184463732
12,0.8049305884557079,0.7916310935309439
13,0.8019130774777199,0.7898114999135335
14,0.7994534083645607,0.7881544756166863
15,0.7969915074993902,0.7869322180747986
16,0.7950920153480066,0.7848408222198486
17,0.7931416468928522,0.7842207395669186
18,0.7912752007350269,0.7829616730863398
19,0.7897898553895406,0.7815146442615625
20,0.7883592603777752,0.7813568772691669
21,0.7870206241825234,0.7804817362265153
22,0.7858560618338929,0.7798627510215297
23,0.7844785206218183,0.7793179111047225
24,0.7834879429621389,0.7786653518676758
25,0.7825570887485838,0.7780730496753346
26,0.7816112626188155,0.7779316512021152
27,0.7807310964671378,0.7770497148687189
28,0.77977333590105,0.776471382560152
29,0.7789016697343312,0.7767598769881509
30,0.7783110946303538,0.7756027030222343
31,0.7774895400148835,0.7759903058861242
32,0.7768140510914443,0.7754383506196918
33,0.7759667274616517,0.7744383923935168
34,0.7753798203323278,0.7745798208496787
35,0.7747215301818268,0.7739724690263922
36,0.7741558179202642,0.7744716113263911
37,0.7737273155056479,0.7737396344994054
38,0.7730503741779254,0.7733112981825164
39,0.7725420460048283,0.7731339758092707
40,0.772065840973147,0.773065620841402
41,0.7716083038895756,0.772941978411241
42,0.77106222639519,0.7723845536058599
43,0.7705676143613605,0.7723912484718092
44,0.7701250127513146,0.7724979498169638
45,0.7697453829725432,0.7720788601673011
46,0.7692357745913951,0.7717591921488444
47,0.7689187518090803,0.7717332861640237
48,0.7685399742634124,0.7715084104826956
49,0.7681342443132582,0.7716053077668855
50,0.7674274726512315,0.7715353936860055
51,0.7673519358888778,0.7717302362124125
52,0.7669503020243046,0.7715330293684295
53,0.7666581309793566,0.7708531842087254
54,0.7663525410478106,0.7706880157644098
55,0.7659447009119245,0.7706855214003361
56,0.7655986338060619,0.7703604040723858
57,0.7653811177826653,0.7705995006994768
58,0.7649540559873835,0.77080737063379
59,0.7646231700259016,0.7705016407099637
60,0.7643379500610293,0.7698585918455413
61,0.7641004432743493,0.7702312671776974
